"G_D" "G" "G_LCFA" "cluster" "query_G_D" "query_G" "query_G_L"
"positive regulation of RNA metabolic process" 2.17358550659402 1.45502696719543 0.253859227623809 1 "Rv1027c, Rv1266c, Rv1365c, Rv1904, Rv2359, Rv2638, Rv2745c, Rv2884, Rv3286c" "Rv0981, Rv1266c, Rv2359, Rv2710, Rv2745c, Rv2884" "Rv0981, Rv1904, Rv2884"
"response to nitric oxide" 2.38863551683418 1.09847957914005 0.609411380894182 1 "Rv1162, Rv1760, Rv2484c, Rv3088, Rv3130c, Rv3219, Rv3371, Rv3734c" "Rv1760, Rv2115c, Rv3219, Rv3740c" "Rv2115c, Rv3371, Rv3740c"
"response to bronchodilator" 2.38863551683418 1.09847957914005 0.609411380894182 1 "Rv1162, Rv1760, Rv2484c, Rv3088, Rv3130c, Rv3219, Rv3371, Rv3734c" "Rv1760, Rv2115c, Rv3219, Rv3740c" "Rv2115c, Rv3371, Rv3740c"
"positive regulation of RNA biosynthetic process" 2.17358550659402 1.45502696719543 0.253859227623809 1 "Rv1027c, Rv1266c, Rv1365c, Rv1904, Rv2359, Rv2638, Rv2745c, Rv2884, Rv3286c" "Rv0981, Rv1266c, Rv2359, Rv2710, Rv2745c, Rv2884" "Rv0981, Rv1904, Rv2884"
"positive regulation of nucleic acid-templated transcription" 2.17358550659402 1.45502696719543 0.253859227623809 1 "Rv1027c, Rv1266c, Rv1365c, Rv1904, Rv2359, Rv2638, Rv2745c, Rv2884, Rv3286c" "Rv0981, Rv1266c, Rv2359, Rv2710, Rv2745c, Rv2884" "Rv0981, Rv1904, Rv2884"
"DNA-binding transcription repressor activity" 3.66033805901482 5.18857747215702 1.19245003090372 2 "Rv0967, Rv2359, Rv2711" "Rv0190, Rv0967, Rv2359, Rv2711" "Rv0190"
"response to metal ion" 3.1026880717295 3.46170047010183 1.62010429247325 2 "Rv0847, Rv0967, Rv0969, Rv1876, Rv1909c, Rv1992c, Rv1994c, Rv2031c, Rv2358, Rv2359, Rv2641, Rv2642" "Rv0186A, Rv0190, Rv0827c, Rv0847, Rv0967, Rv0969, Rv1876, Rv1992c, Rv1994c, Rv2358, Rv2359, Rv2641, Rv2642" "Rv0190, Rv1992c, Rv1994c, Rv2358, Rv2641, Rv2642"
"response to lipid" 3.07511271061462 4.19008798750403 0.870202661981828 2 "Rv0211, Rv3526, Rv3568c" "Rv0211, Rv0467, Rv3197A, Rv3568c" "Rv3197A"
"response to copper ion" 3.40357483307788 5.0081165156004 2.19852501866777 2 "Rv0847, Rv0967, Rv0969, Rv1992c, Rv2642" "Rv0186A, Rv0190, Rv0847, Rv0967, Rv0969, Rv1992c, Rv2642" "Rv0190, Rv1992c, Rv2642"
"dioxygenase activity" 3.34785160247794 2.92977623108936 2.39432600273158 2 "Rv0274, Rv0654, Rv1065, Rv3161c, Rv3406, Rv3568c" "Rv0274, Rv0654, Rv3161c, Rv3406, Rv3568c" "Rv0181c, Rv1542c, Rv3161c, Rv3406"
"terpenoid biosynthetic process, mevalonate-independent" 4.23417719087532 2.18043371693923 2.19271722758692 2 "Rv2870c, Rv3581c, Rv3582c" "Rv3581c" "Rv3581c"
"steroid catabolic process" 3.67954296299362 1.72863918395621 -1 3 "Rv3504, Rv3505, Rv3526, Rv3537, Rv3544c, Rv3545c, Rv3546, Rv3568c, Rv3573c" "Rv3546, Rv3567c, Rv3568c, Rv3571" ""
"cholesterol catabolic process" 3.67954296299362 1.72863918395621 -1 3 "Rv3504, Rv3505, Rv3526, Rv3537, Rv3544c, Rv3545c, Rv3546, Rv3568c, Rv3573c" "Rv3546, Rv3567c, Rv3568c, Rv3571" ""
"steroid metabolic process" 2.59881530592816 1.54275839252479 -1 3 "Rv0764c, Rv1814, Rv3504, Rv3505, Rv3515c, Rv3526, Rv3537, Rv3544c, Rv3545c, Rv3546, Rv3568c, Rv3573c" "Rv0764c, Rv1814, Rv3515c, Rv3546, Rv3567c, Rv3568c, Rv3571" ""
"cholesterol metabolic process" 3.0965054825403 1.60518814237087 -1 3 "Rv3504, Rv3505, Rv3515c, Rv3526, Rv3537, Rv3544c, Rv3545c, Rv3546, Rv3568c, Rv3573c" "Rv3515c, Rv3546, Rv3567c, Rv3568c, Rv3571" ""
"sterol metabolic process" 2.98706642697501 1.83376223726709 -1 3 "Rv0764c, Rv1814, Rv3504, Rv3505, Rv3515c, Rv3526, Rv3537, Rv3544c, Rv3545c, Rv3546, Rv3568c, Rv3573c" "Rv0764c, Rv1814, Rv3515c, Rv3546, Rv3567c, Rv3568c, Rv3571" ""
"sterol catabolic process" 3.67954296299362 1.72863918395621 -1 3 "Rv3504, Rv3505, Rv3526, Rv3537, Rv3544c, Rv3545c, Rv3546, Rv3568c, Rv3573c" "Rv3546, Rv3567c, Rv3568c, Rv3571" ""
"alcohol catabolic process" 2.94132239296323 1.27988228600841 -1 3 "Rv3504, Rv3505, Rv3526, Rv3537, Rv3544c, Rv3545c, Rv3546, Rv3568c, Rv3573c" "Rv3546, Rv3567c, Rv3568c, Rv3571" ""
"organic hydroxy compound catabolic process" 2.94132239296323 1.27988228600841 -1 3 "Rv3504, Rv3505, Rv3526, Rv3537, Rv3544c, Rv3545c, Rv3546, Rv3568c, Rv3573c" "Rv3546, Rv3567c, Rv3568c, Rv3571" ""
"secondary alcohol metabolic process" 2.51021287674424 1.52937315228842 -1 3 "Rv3504, Rv3505, Rv3515c, Rv3526, Rv3537, Rv3544c, Rv3545c, Rv3546, Rv3568c, Rv3573c" "Rv0467, Rv3515c, Rv3546, Rv3567c, Rv3568c, Rv3571" ""
"cellular ion homeostasis" 1.57839762103485 2.83036354647718 1.35355395017862 4 "Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv3402c" "Rv0211, Rv0821c, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c" "Rv0821c, Rv1875, Rv2383c, Rv2386c, Rv3402c"
"cellular metal ion homeostasis" 1.8596106286665 2.91623043433758 1.1986921654611 4 "Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv3402c" "Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c" "Rv1875, Rv2383c, Rv2386c, Rv3402c"
"cellular response to iron ion starvation" 1.75483668574628 3.19990397411808 1.87882584094119 4 "Rv0211, Rv1348, Rv1875, Rv3402c" "Rv0211, Rv1348, Rv1875, Rv2383c, Rv2384, Rv2386c, Rv3402c" "Rv1875, Rv2383c, Rv2386c, Rv3402c"
"nonribosomal peptide biosynthetic process" 1.19864578391915 2.78097290717974 1.87882584094119 4 "Rv1346, Rv1347c, Rv2711" "Rv1344, Rv1347c, Rv2383c, Rv2384, Rv2386c, Rv2711" "Rv1344, Rv1347c, Rv2383c, Rv2386c"
"cellular cation homeostasis" 1.75972024132891 2.7905539782733 1.11086448019253 4 "Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv3402c" "Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c" "Rv1875, Rv2383c, Rv2386c, Rv3402c"
"negative regulation of transcription, DNA-templated" 2.03171911510042 2.14507825617269 1.25784412124677 4 "Rv0967, Rv1102c, Rv1909c, Rv1956, Rv2011c, Rv2359, Rv2711, Rv2866, Rv3219, Rv3287c, Rv3358" "Rv0190, Rv0792c, Rv0967, Rv0981, Rv1846c, Rv1956, Rv2011c, Rv2359, Rv2711, Rv3197A, Rv3219" "Rv0190, Rv0981, Rv1102c, Rv1846c, Rv1956, Rv3197A, Rv3416"
"cellular transition metal ion homeostasis" 1.96673955135486 3.05441239215909 1.29221303444674 4 "Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv3402c" "Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c" "Rv1875, Rv2383c, Rv2386c, Rv3402c"
"chemical homeostasis" 1.56858215091277 2.89353630281623 1.39670597249333 4 "Rv0211, Rv1348, Rv1619, Rv1875, Rv1876, Rv2025c, Rv3402c" "Rv0186A, Rv0211, Rv0821c, Rv0985c, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c" "Rv0821c, Rv0985c, Rv1875, Rv2383c, Rv2386c, Rv3402c"
"ion homeostasis" 1.64290548056423 2.76448032346795 1.13004275232384 4 "Rv0211, Rv1348, Rv1619, Rv1875, Rv1876, Rv2025c, Rv3402c" "Rv0186A, Rv0211, Rv0821c, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c" "Rv0821c, Rv1875, Rv2383c, Rv2386c, Rv3402c"
"negative regulation of RNA metabolic process" 1.74588785837531 2.04156459990959 1.47469217809674 4 "Rv0967, Rv1102c, Rv1909c, Rv1956, Rv2011c, Rv2359, Rv2711, Rv2866, Rv3219, Rv3287c, Rv3358" "Rv0190, Rv0300, Rv0792c, Rv0967, Rv0981, Rv1846c, Rv1956, Rv2011c, Rv2359, Rv2711, Rv3197A, Rv3219" "Rv0190, Rv0300, Rv0736, Rv0981, Rv1102c, Rv1846c, Rv1956, Rv3197A, Rv3416"
"metal ion homeostasis" 1.6661520384784 2.94596609413415 1.02804182319238 4 "Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv3402c" "Rv0186A, Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c" "Rv1875, Rv2383c, Rv2386c, Rv3402c"
"cation homeostasis" 1.57839762103485 2.83036354647718 0.949708513554296 4 "Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv3402c" "Rv0186A, Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c" "Rv1875, Rv2383c, Rv2386c, Rv3402c"
"cellular chemical homeostasis" 1.49559698523534 2.97195848218073 1.62010429247325 4 "Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv3402c" "Rv0211, Rv0821c, Rv0985c, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c" "Rv0821c, Rv0985c, Rv1875, Rv2383c, Rv2386c, Rv3402c"
"inorganic ion homeostasis" 1.41721860787039 2.86424248516032 1.20080452538466 4 "Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv3402c" "Rv0186A, Rv0211, Rv0821c, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c" "Rv0821c, Rv1875, Rv2383c, Rv2386c, Rv3402c"
"siderophore metabolic process" 1.85209105759026 3.7819413973594 2.61682928581448 5 "Rv1346, Rv1347c, Rv2711" "Rv1344, Rv1347c, Rv2383c, Rv2384, Rv2386c, Rv2711" "Rv1344, Rv1347c, Rv2383c, Rv2386c"
"catechol-containing compound metabolic process" 2.33806382643988 3.930528154066 3.20233220367099 5 "Rv1346, Rv1347c, Rv2711" "Rv1344, Rv1347c, Rv2383c, Rv2386c, Rv2711" "Rv1344, Rv1347c, Rv2383c, Rv2386c"
"siderophore biosynthetic process" 1.85209105759026 3.7819413973594 2.61682928581448 5 "Rv1346, Rv1347c, Rv2711" "Rv1344, Rv1347c, Rv2383c, Rv2384, Rv2386c, Rv2711" "Rv1344, Rv1347c, Rv2383c, Rv2386c"
"siderophore biosynthetic process from catechol" 2.33806382643988 3.930528154066 3.20233220367099 5 "Rv1346, Rv1347c, Rv2711" "Rv1344, Rv1347c, Rv2383c, Rv2386c, Rv2711" "Rv1344, Rv1347c, Rv2383c, Rv2386c"
"response to cadmium ion" 4.0720861837173 5.26560426425009 4.19541248932444 5 "Rv1994c, Rv2641" "Rv0186A, Rv1994c, Rv2641" "Rv1994c, Rv2641"
"alkane catabolic process" -1 5.26560426425009 -1 6 "" "Rv3250c, Rv3251c, Rv3252c" ""
