"G_D" "G" "G_LCFA" "cluster" "query_G_D" "query_G" "query_G_L"
"plasma membrane respirasome" 4.83884650660507 4.69675437044598 4.03592265251783 2 "Rv3146, Rv3149, Rv3150, Rv3153, Rv3157" "Rv3146, Rv3149, Rv3150, Rv3153, Rv3157" "Rv3146, Rv3149, Rv3150, Rv3153, Rv3157"
"respiratory chain complex" 4.25499031496694 4.11321362859978 4.30165914512794 2 "Rv3146, Rv3149, Rv3150, Rv3153, Rv3157" "Rv3146, Rv3149, Rv3150, Rv3153, Rv3157" "Rv3146, Rv3149, Rv3150, Rv3153, Rv3157, Rv3316"
"inorganic phosphate transmembrane transporter activity" 0.693460241275001 4.11321362859978 3.45081964065466 3 "Rv0545c" "Rv0545c, Rv0929, Rv0930, Rv0935, Rv0936" "Rv0545c, Rv0929, Rv0930, Rv0935, Rv0936"
"monosaccharide metabolic process" 0.10767081985908 1.8732075172928 2.34572882086461 3 "Rv1437, Rv2436" "Rv1408, Rv1436, Rv1437, Rv1438, Rv1771, Rv2436" "Rv0946c, Rv1099c, Rv1408, Rv1436, Rv1437, Rv1438, Rv1447c, Rv1771, Rv2436, Rv2967c"
"glucose metabolic process" -0.309058855566314 1.36551794574413 2.52522175204232 3 "Rv1437" "Rv1436, Rv1437, Rv1438" "Rv0946c, Rv1099c, Rv1436, Rv1437, Rv1438, Rv1447c, Rv2967c"
"pyruvate metabolic process" -0.257277758594695 1.98993426377362 2.2257481803194 3 "Rv1023, Rv1437" "Rv0363c, Rv0462, Rv1023, Rv1127c, Rv1436, Rv1437, Rv1438, Rv2241" "Rv0363c, Rv0462, Rv0946c, Rv1023, Rv1436, Rv1437, Rv1438, Rv2215, Rv2241, Rv2858c, Rv2967c, Rv3379c"
"gluconeogenesis" 0.500485851610453 1.55584821383257 3.03600486774241 3 "Rv1437" "Rv1437, Rv1438" "Rv0946c, Rv1099c, Rv1437, Rv1438, Rv2967c"
"glycolytic process" 0.802466023270609 3.18994359165734 3.30868098262117 3 "Rv1023, Rv1437" "Rv0363c, Rv0462, Rv1023, Rv1436, Rv1437, Rv1438, Rv2241" "Rv0363c, Rv0462, Rv0946c, Rv1023, Rv1436, Rv1437, Rv1438, Rv2215, Rv2241"
"tricarboxylic acid cycle" 1.1162606612097 3.04923724334623 2.61418996122323 3 "Rv1098c, Rv1475c, Rv1837c, Rv3339c" "Rv0462, Rv0896, Rv1098c, Rv1130, Rv1131, Rv1240, Rv1475c, Rv1731, Rv1837c, Rv3318, Rv3339c" "Rv0066c, Rv0462, Rv0896, Rv0951, Rv0952, Rv1098c, Rv1240, Rv1475c, Rv1837c, Rv3316, Rv3318, Rv3319"
"nucleoside diphosphate phosphorylation" 0.501811133462656 2.72950313138132 3.04808082320256 3 "Rv1023, Rv1437" "Rv0363c, Rv0462, Rv1023, Rv1436, Rv1437, Rv1438, Rv2241" "Rv0363c, Rv0462, Rv0946c, Rv0952, Rv1023, Rv1436, Rv1437, Rv1438, Rv2215, Rv2241"
"glutamine metabolic process" 0.920504596706617 1.28023637459121 2.30686279840583 3 "Rv2604c, Rv2860c, Rv3396c" "Rv2604c, Rv2859c, Rv2860c, Rv3396c" "Rv0013, Rv1383, Rv1384, Rv1699, Rv2848c, Rv2859c, Rv2860c, Rv3396c, Rv3702c"
"ATP generation from ADP" 0.802466023270609 3.18994359165734 3.30868098262117 3 "Rv1023, Rv1437" "Rv0363c, Rv0462, Rv1023, Rv1436, Rv1437, Rv1438, Rv2241" "Rv0363c, Rv0462, Rv0946c, Rv1023, Rv1436, Rv1437, Rv1438, Rv2215, Rv2241"
"riboflavin metabolic process" -1 2.36732522015483 3.03600486774241 3 "" "Rv1409, Rv1416, Rv1417" "Rv0695, Rv1415, Rv1416, Rv1417, Rv2671"
"phosphate ion transport" 1.04417790974218 3.15643498704008 3.89432142529305 3 "Rv0545c, Rv0928" "Rv0545c, Rv0928, Rv0929, Rv0930, Rv0935, Rv0936" "Rv0545c, Rv0928, Rv0929, Rv0930, Rv0932c, Rv0934, Rv0935, Rv0936, Rv3301c"
"aspartate family amino acid biosynthetic process" -1.14979028702667 1.93838625761967 2.27878703029608 3 "Rv1202" "Rv1133c, Rv1201c, Rv1294, Rv1295, Rv2773c, Rv3708c, Rv3709c" "Rv1059, Rv1133c, Rv1293, Rv1294, Rv1295, Rv1296, Rv2210c, Rv2773c, Rv3015c, Rv3708c, Rv3709c"
"nucleoside diphosphate metabolic process" 0.767687010020874 2.47761434850661 2.60176221385454 3 "Rv1023, Rv1437, Rv3672c" "Rv0363c, Rv0462, Rv1023, Rv1436, Rv1437, Rv1438, Rv2241, Rv2883c" "Rv0363c, Rv0462, Rv0946c, Rv0952, Rv1023, Rv1436, Rv1437, Rv1438, Rv2215, Rv2241, Rv2883c"
"purine nucleoside diphosphate metabolic process" 0.595284868453048 2.86749828879506 2.89314209454813 3 "Rv1023, Rv1437" "Rv0363c, Rv0462, Rv1023, Rv1436, Rv1437, Rv1438, Rv2241" "Rv0363c, Rv0462, Rv0946c, Rv1023, Rv1436, Rv1437, Rv1438, Rv2215, Rv2241"
"purine ribonucleoside diphosphate metabolic process" 0.595284868453048 2.86749828879506 2.89314209454813 3 "Rv1023, Rv1437" "Rv0363c, Rv0462, Rv1023, Rv1436, Rv1437, Rv1438, Rv2241" "Rv0363c, Rv0462, Rv0946c, Rv1023, Rv1436, Rv1437, Rv1438, Rv2215, Rv2241"
"ribonucleoside diphosphate metabolic process" 0.501811133462656 3.06415370207274 3.04808082320256 3 "Rv1023, Rv1437" "Rv0363c, Rv0462, Rv1023, Rv1436, Rv1437, Rv1438, Rv2241, Rv2883c" "Rv0363c, Rv0462, Rv0946c, Rv1023, Rv1436, Rv1437, Rv1438, Rv2215, Rv2241, Rv2883c"
"riboflavin biosynthetic process" -1 2.36732522015483 3.03600486774241 3 "" "Rv1409, Rv1416, Rv1417" "Rv0695, Rv1415, Rv1416, Rv1417, Rv2671"
"organic cation transport" 0.500485851610453 3.04944362541481 4.52771821214266 3 "Rv3759c" "Rv2937, Rv3757c, Rv3758c, Rv3759c" "Rv1457c, Rv1686c, Rv2938, Rv3756c, Rv3757c, Rv3758c, Rv3759c"
"ammonium transport" 0.177864921214843 2.5636935044451 3.52636892773969 3 "Rv3759c" "Rv2937, Rv3757c, Rv3758c, Rv3759c" "Rv1457c, Rv1686c, Rv2938, Rv3756c, Rv3757c, Rv3758c, Rv3759c"
"carbohydrate catabolic process" 0.228217718317943 2.25279739949839 1.99018053746307 3 "Rv1023, Rv1437, Rv2436" "Rv0363c, Rv0462, Rv1023, Rv1408, Rv1436, Rv1437, Rv1438, Rv2241, Rv2436, Rv3696c" "Rv0363c, Rv0462, Rv0946c, Rv1023, Rv1408, Rv1436, Rv1437, Rv1438, Rv2215, Rv2241, Rv2436, Rv3696c"
"hexose biosynthetic process" 0.500485851610453 1.55584821383257 3.03600486774241 3 "Rv1437" "Rv1437, Rv1438" "Rv0946c, Rv1099c, Rv1437, Rv1438, Rv2967c"
"diaminopimelate biosynthetic process" 1.17947977417075 4.37156237525878 2.70879268420579 3 "Rv1202" "Rv1201c, Rv2773c, Rv3708c, Rv3709c" "Rv2773c, Rv3708c, Rv3709c"
"flavin-containing compound metabolic process" -1 2.36732522015483 3.03600486774241 3 "" "Rv1409, Rv1416, Rv1417" "Rv0695, Rv1415, Rv1416, Rv1417, Rv2671"
"flavin-containing compound biosynthetic process" -1 2.36732522015483 3.03600486774241 3 "" "Rv1409, Rv1416, Rv1417" "Rv0695, Rv1415, Rv1416, Rv1417, Rv2671"
"ADP metabolic process" 0.695185533081204 3.01974708450847 3.08615563516764 3 "Rv1023, Rv1437" "Rv0363c, Rv0462, Rv1023, Rv1436, Rv1437, Rv1438, Rv2241" "Rv0363c, Rv0462, Rv0946c, Rv1023, Rv1436, Rv1437, Rv1438, Rv2215, Rv2241"
"monosaccharide biosynthetic process" 0.330225872930986 2.14474069771327 3.30119494058276 3 "Rv1437" "Rv1437, Rv1438, Rv1771" "Rv0946c, Rv1099c, Rv1437, Rv1438, Rv1771, Rv2967c"
"nucleotide phosphorylation" 0.501811133462656 2.72950313138132 3.04808082320256 3 "Rv1023, Rv1437" "Rv0363c, Rv0462, Rv1023, Rv1436, Rv1437, Rv1438, Rv2241" "Rv0363c, Rv0462, Rv0946c, Rv0952, Rv1023, Rv1436, Rv1437, Rv1438, Rv2215, Rv2241"
"cellular biogenic amine metabolic process" 3.10662169155899 2.52622403580525 2.30021089959985 4 "Rv1609, Rv1611, Rv1612, Rv1613, Rv2601, Rv2860c" "Rv1611, Rv1612, Rv1613, Rv2859c, Rv2860c" "Rv0013, Rv1611, Rv1612, Rv1613, Rv2859c, Rv2860c"
"aerobic respiration" 1.82415710408335 3.07116989644543 2.74217820363208 4 "Rv1098c, Rv1475c, Rv1837c, Rv3146, Rv3152, Rv3153, Rv3157, Rv3339c" "Rv0462, Rv0896, Rv1098c, Rv1130, Rv1131, Rv1240, Rv1475c, Rv1731, Rv1837c, Rv3146, Rv3152, Rv3153, Rv3157, Rv3318, Rv3339c" "Rv0066c, Rv0462, Rv0896, Rv0951, Rv0952, Rv1098c, Rv1240, Rv1475c, Rv1837c, Rv3043c, Rv3146, Rv3152, Rv3153, Rv3157, Rv3316, Rv3318, Rv3319"
"amine biosynthetic process" 3.839970198784 2.36732522015483 2.38898063504614 4 "Rv1609, Rv1611, Rv1612, Rv1613, Rv2601" "Rv1611, Rv1612, Rv1613" "Rv0013, Rv1611, Rv1612, Rv1613"
"coenzyme A metabolic process" 4.51461885820083 2.36398980343358 1.70615493782663 4 "Rv1092c, Rv1631, Rv1837c, Rv2965c" "Rv1092c, Rv1837c" "Rv1092c, Rv1837c"
"energy derivation by oxidation of organic compounds" 1.72541695345293 2.26521578699701 1.97192548157933 4 "Rv1098c, Rv1328, Rv1475c, Rv1837c, Rv3146, Rv3149, Rv3150, Rv3151, Rv3152, Rv3153, Rv3155, Rv3156, Rv3157, Rv3158, Rv3339c" "Rv0462, Rv0896, Rv1098c, Rv1130, Rv1131, Rv1240, Rv1328, Rv1475c, Rv1731, Rv1837c, Rv3146, Rv3149, Rv3150, Rv3151, Rv3152, Rv3153, Rv3155, Rv3156, Rv3157, Rv3318, Rv3339c" "Rv0066c, Rv0462, Rv0896, Rv0951, Rv0952, Rv1098c, Rv1240, Rv1328, Rv1475c, Rv1837c, Rv2196, Rv3043c, Rv3146, Rv3149, Rv3150, Rv3151, Rv3152, Rv3153, Rv3155, Rv3156, Rv3157, Rv3316, Rv3318, Rv3319, Rv3858c"
"oxidoreductase activity, acting on NAD(P)H" 2.9769632996569 2.67303298548773 2.15165712744884 4 "Rv0155, Rv0157, Rv3145, Rv3146, Rv3147, Rv3148, Rv3149, Rv3150, Rv3151, Rv3152, Rv3153, Rv3154, Rv3155, Rv3156, Rv3157, Rv3158" "Rv0462, Rv3145, Rv3146, Rv3147, Rv3148, Rv3149, Rv3150, Rv3151, Rv3152, Rv3153, Rv3154, Rv3155, Rv3156, Rv3157, Rv3303c" "Rv0462, Rv2215, Rv3145, Rv3146, Rv3147, Rv3148, Rv3149, Rv3150, Rv3151, Rv3152, Rv3153, Rv3154, Rv3155, Rv3156, Rv3157, Rv3303c"
"propionate metabolic process" 2.18345060864913 3.7866386946324 0.118227751068852 4 "Rv1129c, Rv1475c" "Rv1129c, Rv1130, Rv1131, Rv1475c" "Rv1475c"
"respiratory electron transport chain" 2.52051502648543 1.99439266157067 2.39796095030578 4 "Rv3149, Rv3151, Rv3155, Rv3156, Rv3157, Rv3158" "Rv3149, Rv3151, Rv3155, Rv3156, Rv3157" "Rv2196, Rv3043c, Rv3149, Rv3151, Rv3155, Rv3156, Rv3157, Rv3319"
"cellular biogenic amine biosynthetic process" 3.839970198784 2.36732522015483 2.38898063504614 4 "Rv1609, Rv1611, Rv1612, Rv1613, Rv2601" "Rv1611, Rv1612, Rv1613" "Rv0013, Rv1611, Rv1612, Rv1613"
"cellular respiration" 1.99635706216216 2.62032404350098 2.38702839286185 4 "Rv1098c, Rv1475c, Rv1837c, Rv3146, Rv3149, Rv3150, Rv3151, Rv3152, Rv3153, Rv3155, Rv3156, Rv3157, Rv3158, Rv3339c" "Rv0462, Rv0896, Rv1098c, Rv1130, Rv1131, Rv1240, Rv1475c, Rv1731, Rv1837c, Rv3146, Rv3149, Rv3150, Rv3151, Rv3152, Rv3153, Rv3155, Rv3156, Rv3157, Rv3318, Rv3339c" "Rv0066c, Rv0462, Rv0896, Rv0951, Rv0952, Rv1098c, Rv1240, Rv1475c, Rv1837c, Rv2196, Rv3043c, Rv3146, Rv3149, Rv3150, Rv3151, Rv3152, Rv3153, Rv3155, Rv3156, Rv3157, Rv3316, Rv3318, Rv3319, Rv3858c"
"short-chain fatty acid metabolic process" 1.50451069676506 3.37528999927738 1.48534761835797 4 "Rv1129c, Rv1475c" "Rv1129c, Rv1130, Rv1131, Rv1475c, Rv1984c" "Rv1475c, Rv1483, Rv1984c"
