"transcript_id" "Gene_id" "symbol" "Locus_tag"
"886938" "NC_000962.3:105324-106715" 886938 "PPE1" "Rv0096"
"886942" "NC_000962.3:106734-107603" 886942 "Rv0097" "Rv0097"
"886935" "NC_000962.3:107600-108151" 886935 "fcoT" "Rv0098"
"886933" "NC_000962.3:108156-109778" 886933 "fadD10" "Rv0099"
"886931" "NC_000962.3:109783-110019" 886931 "Rv0100" "Rv0100"
"886951" "NC_000962.3:110001-117539" 886951 "nrp" "Rv0101"
"886926" "NC_000962.3:117714-119699" 886926 "Rv0102" "Rv0102"
"886928" "NC_000962.3:c122173-119915" 886928 "ctpB" "Rv0103c"
"886923" "NC_000962.3:122317-123831" 886923 "Rv0104" "Rv0104"
"886920" "NC_000962.3:c124264-123980" 886920 "rpmB1" "Rv0105c"
"886919" "NC_000962.3:124374-125570" 886919 "Rv0106" "Rv0106"
"886915" "NC_000962.3:c130541-125643" 886915 "ctpI" "Rv0107c"
"886918" "NC_000962.3:c131104-130895" 886918 "Rv0108c" "Rv0108c"
"886912" "NC_000962.3:131382-132872" 886912 "PE_PGRS1" "Rv0109"
"886917" "NC_000962.3:133020-133769" 886917 "Rv0110" "Rv0110"
"886909" "NC_000962.3:133950-136007" 886909 "Rv0111" "Rv0111"
"886907" "NC_000962.3:136289-137245" 886907 "gca" "Rv0112"
"886905" "NC_000962.3:137319-137909" 886905 "gmhA" "Rv0113"
"886903" "NC_000962.3:137941-138513" 886903 "gmhB" "Rv0114"
"886902" "NC_000962.3:138513-139673" 886902 "hddA" "Rv0115"
"19394668" "NC_000962.3:139956-140144" 19394668 "Rv0115a" "Rv0115a"
"886900" "NC_000962.3:c141022-140267" 886900 "ldtA" "Rv0116c"
"886914" "NC_000962.3:141200-142144" 886914 "oxyS" "Rv0117"
"886898" "NC_000962.3:c143876-142128" 886898 "oxcA" "Rv0118c"
"886896" "NC_000962.3:144049-145626" 886896 "fadD7" "Rv0119"
"886894" "NC_000962.3:c147771-145627" 886894 "fusA2" "Rv0120c"
"886892" "NC_000962.3:c148342-147908" 886892 "Rv0121c" "Rv0121c"
"886888" "NC_000962.3:148491-148859" 886888 "Rv0122" "Rv0122"
"886887" "NC_000962.3:148856-149224" 886887 "Rv0123" "Rv0123"
"886883" "NC_000962.3:149533-150996" 886883 "PE_PGRS2" "Rv0124"
"886924" "NC_000962.3:151148-152215" 886924 "pepA" "Rv0125"
"886881" "NC_000962.3:152324-154129" 886881 "treS" "Rv0126"
"886880" "NC_000962.3:154232-155599" 886880 "mak" "Rv0127"
"886878" "NC_000962.3:155667-156446" 886878 "Rv0128" "Rv0128"
"886885" "NC_000962.3:c157600-156578" 886885 "fbpC" "Rv0129c"
"886876" "NC_000962.3:157847-158302" 886876 "htdZ" "Rv0130"
"886874" "NC_000962.3:c159658-158315" 886874 "fadE1" "Rv0131c"
"886877" "NC_000962.3:c160782-159700" 886877 "fgd2" "Rv0132c"
"886873" "NC_000962.3:160869-161474" 886873 "Rv0133" "Rv0133"
"886871" "NC_000962.3:161771-162673" 886871 "ephF" "Rv0134"
"886869" "NC_000962.3:c163249-162644" 886869 "Rv0135c" "Rv0135c"
"886868" "NC_000962.3:163366-164691" 886868 "cyp138" "Rv0136"
"886865" "NC_000962.3:c165260-164712" 886865 "msrA" "Rv0137c"
"886863" "NC_000962.3:165323-165826" 886863 "Rv0138" "Rv0138"
"886860" "NC_000962.3:165827-166849" 886860 "Rv0139" "Rv0139"
"886859" "NC_000962.3:166910-167290" 886859 "Rv0140" "Rv0140"
"886872" "NC_000962.3:c167681-167271" 886872 "Rv0141c" "Rv0141c"
"886858" "NC_000962.3:167711-168637" 886858 "Rv0142" "Rv0142"
"886856" "NC_000962.3:c170182-168704" 886856 "Rv0143c" "Rv0143c"
"886854" "NC_000962.3:170284-171126" 886854 "Rv0144" "Rv0144"
"886851" "NC_000962.3:171215-172168" 886851 "Rv0145" "Rv0145"
"886849" "NC_000962.3:172211-173143" 886849 "Rv0146" "Rv0146"
"886847" "NC_000962.3:173238-174758" 886847 "Rv0147" "Rv0147"
"886845" "NC_000962.3:174833-175693" 886845 "Rv0148" "Rv0148"
"886843" "NC_000962.3:175700-176668" 886843 "Rv0149" "Rv0149"
"886840" "NC_000962.3:c176952-176665" 886840 "Rv0150c" "Rv0150c"
"886857" "NC_000962.3:c179309-177543" 886857 "PE1" "Rv0151c"
"886838" "NC_000962.3:c180896-179319" 886838 "PE2" "Rv0152c"
"886842" "NC_000962.3:c181985-181155" 886842 "ptbB" "Rv0153c"
"886836" "NC_000962.3:c183198-181987" 886836 "fadE2" "Rv0154c"
"886832" "NC_000962.3:183622-184722" 886832 "pntAa" "Rv0155"
"886890" "NC_000962.3:184723-185055" 886890 "pntAb" "Rv0156"
"886830" "NC_000962.3:185052-186479" 886830 "pntB" "Rv0157"
"3205086" "NC_000962.3:c186623-186495" 3205086 "Rv0157A" "Rv0157A"
"886828" "NC_000962.3:186785-187429" 886828 "Rv0158" "Rv0158"
"886826" "NC_000962.3:c188839-187433" 886826 "PE3" "Rv0159c"
"886825" "NC_000962.3:c190439-188931" 886825 "PE4" "Rv0160c"
"886835" "NC_000962.3:190607-191956" 886835 "Rv0161" "Rv0161"
"886824" "NC_000962.3:c193135-191984" 886824 "adhE1" "Rv0162c"
"886821" "NC_000962.3:193117-193572" 886821 "Rv0163" "Rv0163"
"886267" "NC_000962.3:193626-194111" 886267 "TB18.5" "Rv0164"
"886818" "NC_000962.3:c194815-194144" 886818 "mce1R" "Rv0165c"
"886822" "NC_000962.3:194993-196657" 886822 "fadD5" "Rv0166"
"886816" "NC_000962.3:196861-197658" 886816 "yrbE1A" "Rv0167"
"886812" "NC_000962.3:197660-198529" 886812 "yrbE1B" "Rv0168"
"886823" "NC_000962.3:198534-199898" 886823 "mce1A" "Rv0169"
"886810" "NC_000962.3:199895-200935" 886810 "mce1B" "Rv0170"
"886808" "NC_000962.3:200932-202479" 886808 "mce1C" "Rv0171"
"886807" "NC_000962.3:202476-204068" 886807 "mce1D" "Rv0172"
"886804" "NC_000962.3:204065-205237" 886804 "lprK" "Rv0173"
"886820" "NC_000962.3:205231-206778" 886820 "mce1F" "Rv0174"
"886801" "NC_000962.3:206814-207455" 886801 "Rv0175" "Rv0175"
"886799" "NC_000962.3:207452-208420" 886799 "Rv0176" "Rv0176"
"886795" "NC_000962.3:208417-208971" 886795 "Rv0177" "Rv0177"
"886814" "NC_000962.3:208938-209672" 886814 "Rv0178" "Rv0178"
"886796" "NC_000962.3:c210812-209703" 886796 "lprO" "Rv0179c"
"886792" "NC_000962.3:c212250-210892" 886792 "Rv0180c" "Rv0180c"
"886788" "NC_000962.3:c213011-212277" 886788 "Rv0181c" "Rv0181c"
"886786" "NC_000962.3:c214140-213028" 886786 "sigG" "Rv0182c"
"886785" "NC_000962.3:214088-214927" 886785 "Rv0183" "Rv0183"
"886806" "NC_000962.3:214969-215718" 886806 "Rv0184" "Rv0184"
"886782" "NC_000962.3:215715-216224" 886782 "Rv0185" "Rv0185"
"886780" "NC_000962.3:216269-218344" 886780 "bglS" "Rv0186"
"14515880" "NC_000962.3:c218551-218390" 14515880 "mymT" "Rv0186A"
"886779" "NC_000962.3:218705-219367" 886779 "Rv0187" "Rv0187"
"886776" "NC_000962.3:219486-219917" 886776 "Rv0188" "Rv0188"
"886774" "NC_000962.3:c221723-219996" 886774 "ilvD" "Rv0189c"
"886772" "NC_000962.3:221871-222161" 886772 "Rv0190" "Rv0190"
"886770" "NC_000962.3:222289-223530" 886770 "Rv0191" "Rv0191"
"886768" "NC_000962.3:223564-224664" 886768 "Rv0192" "Rv0192"
"886764" "NC_000962.3:c226571-224724" 886764 "Rv0193c" "Rv0193c"
"886790" "NC_000962.3:226878-230462" 886790 "Rv0194" "Rv0194"
"886762" "NC_000962.3:230899-231534" 886762 "Rv0195" "Rv0195"
"886760" "NC_000962.3:231647-232231" 886760 "Rv0196" "Rv0196"
"886758" "NC_000962.3:232231-234519" 886758 "Rv0197" "Rv0197"
"886755" "NC_000962.3:c236507-234516" 886755 "zmp1" "Rv0198c"
"886753" "NC_000962.3:236550-237209" 886753 "Rv0199" "Rv0199"
"886803" "NC_000962.3:237206-237895" 886803 "Rv0200" "Rv0200"
"886756" "NC_000962.3:c238395-237892" 886756 "Rv0201c" "Rv0201c"
"886750" "NC_000962.3:c241292-238392" 886750 "mmpL11" "Rv0202c"
"886748" "NC_000962.3:241514-241924" 886748 "Rv0203" "Rv0203"
"886747" "NC_000962.3:c243214-241976" 886747 "Rv0204c" "Rv0204c"
"886766" "NC_000962.3:243384-244487" 886766 "Rv0205" "Rv0205"
"886752" "NC_000962.3:c247318-244484" 886752 "mmpL3" "Rv0206c"
"886742" "NC_000962.3:c248112-247384" 886742 "Rv0207c" "Rv0207c"
"886740" "NC_000962.3:c248906-248115" 886740 "Rv0208c" "Rv0208c"
"886739" "NC_000962.3:249038-250123" 886739 "Rv0209" "Rv0209"
"886735" "NC_000962.3:250120-251598" 886735 "Rv0210" "Rv0210"
"886744" "NC_000962.3:251782-253602" 886744 "pckA" "Rv0211"
"886734" "NC_000962.3:c254640-253669" 886734 "nadR" "Rv0212c"
"886746" "NC_000962.3:c255950-254637" 886746 "Rv0213c" "Rv0213c"
"886737" "NC_000962.3:256064-257677" 886737 "fadD4" "Rv0214"
"886730" "NC_000962.3:c258856-257719" 886730 "Rv0215c" "Rv0215c"
"886729" "NC_000962.3:258913-259926" 886729 "Rv0216" "Rv0216"
"886726" "NC_000962.3:c260831-259923" 886726 "lipW" "Rv0217c"
"886727" "NC_000962.3:260924-262252" 886727 "Rv0218" "Rv0218"
"886725" "NC_000962.3:262254-262802" 886725 "Rv0219" "Rv0219"
"886722" "NC_000962.3:262812-264023" 886722 "lipC" "Rv0220"
"886719" "NC_000962.3:264067-265476" 886719 "Rv0221" "Rv0221"
"886723" "NC_000962.3:265507-266295" 886723 "echA1" "Rv0222"
"886718" "NC_000962.3:c267764-266301" 886718 "Rv0223c" "Rv0223c"
"886715" "NC_000962.3:c268627-267863" 886715 "Rv0224c" "Rv0224c"
"886713" "NC_000962.3:268663-269817" 886713 "Rv0225" "Rv0225"
"886711" "NC_000962.3:c271564-269834" 886711 "Rv0226c" "Rv0226c"
"886710" "NC_000962.3:c272839-271574" 886710 "Rv0227c" "Rv0227c"
"886708" "NC_000962.3:273055-274278" 886708 "Rv0228" "Rv0228"
"886724" "NC_000962.3:c274986-274306" 886724 "Rv0229c" "Rv0229c"
"886705" "NC_000962.3:c275963-274983" 886705 "php" "Rv0230c"
"886703" "NC_000962.3:276058-277764" 886703 "fadE4" "Rv0231"
"886701" "NC_000962.3:277899-278588" 886701 "Rv0232" "Rv0232"
"886699" "NC_000962.3:278585-279529" 886699 "nrdB" "Rv0233"
"886732" "NC_000962.3:c281140-279605" 886732 "gabD1" "Rv0234c"
"886695" "NC_000962.3:c282614-281166" 886695 "Rv0235c" "Rv0235c"
"3205106" "NC_000962.3:c287071-286898" 3205106 "Rv0236A" "Rv0236A"
"886707" "NC_000962.3:c286851-282649" 886707 "aftD" "Rv0236c"
"886693" "NC_000962.3:287186-288352" 886693 "lpqI" "Rv0237"
"886691" "NC_000962.3:288428-289042" 886691 "Rv0238" "Rv0238"
"886689" "NC_000962.3:289104-289337" 886689 "vapB24" "Rv0239"
"886688" "NC_000962.3:289345-289782" 886688 "vapC24" "Rv0240"
"886686" "NC_000962.3:c290654-289812" 886686 "htdX" "Rv0241c"
"886697" "NC_000962.3:c292029-290665" 886697 "fabG4" "Rv0242c"
"886682" "NC_000962.3:292171-293493" 886682 "fadA2" "Rv0243"
"886698" "NC_000962.3:c295633-293798" 886698 "fadE5" "Rv0244c"
"886680" "NC_000962.3:296005-296493" 886680 "Rv0245" "Rv0245"
"886678" "NC_000962.3:296809-298119" 886678 "Rv0246" "Rv0246"
"886677" "NC_000962.3:c298862-298116" 886677 "Rv0247c" "Rv0247c"
"886675" "NC_000962.3:c300803-298863" 886675 "Rv0248c" "Rv0248c"
"886671" "NC_000962.3:c301655-300834" 886671 "Rv0249c" "Rv0249c"
"886669" "NC_000962.3:c302028-301735" 886669 "Rv0250c" "Rv0250c"
"886667" "NC_000962.3:c302652-302173" 886667 "hsp" "Rv0251c"
"886665" "NC_000962.3:302866-305427" 886665 "nirB" "Rv0252"
"886664" "NC_000962.3:305453-305809" 886664 "nirD" "Rv0253"
"886661" "NC_000962.3:c306349-305825" 886661 "cobU" "Rv0254c"
"886673" "NC_000962.3:c307858-306374" 886673 "cobQ1" "Rv0255c"
"886684" "NC_000962.3:c309547-307877" 886684 "PPE2" "Rv0256c"
"3205110" "NC_000962.3:309699-310073" 3205110 "Rv0257" "Rv0257"
"886654" "NC_000962.3:c310749-310294" 886654 "Rv0258c" "Rv0258c"
"886657" "NC_000962.3:c311517-310774" 886657 "Rv0259c" "Rv0259c"
"886651" "NC_000962.3:c312659-311514" 886651 "Rv0260c" "Rv0260c"
"886663" "NC_000962.3:c314168-312759" 886663 "narK3" "Rv0261c"
"886648" "NC_000962.3:c314854-314309" 886648 "aac" "Rv0262c"
"886659" "NC_000962.3:c315766-314864" 886659 "Rv0263c" "Rv0263c"
"886646" "NC_000962.3:c316415-315783" 886646 "Rv0264c" "Rv0264c"
"886650" "NC_000962.3:c317503-316511" 886650 "Rv0265c" "Rv0265c"
"886642" "NC_000962.3:c321154-317525" 886642 "oplA" "Rv0266c"
"886644" "NC_000962.3:321331-322722" 886644 "narU" "Rv0267"
"886647" "NC_000962.3:c323273-322764" 886647 "Rv0268c" "Rv0268c"
"886640" "NC_000962.3:c324531-323338" 886640 "Rv0269c" "Rv0269c"
"886637" "NC_000962.3:324567-326249" 886637 "fadD2" "Rv0270"
"886641" "NC_000962.3:c328461-326266" 886641 "fadE6" "Rv0271c"
"886635" "NC_000962.3:c329708-328575" 886635 "Rv0272c" "Rv0272c"
"886633" "NC_000962.3:c330325-329705" 886633 "Rv0273c" "Rv0273c"
"886631" "NC_000962.3:330422-331003" 886631 "Rv0274" "Rv0274"
"886629" "NC_000962.3:c331658-330933" 886629 "Rv0275c" "Rv0275c"
"886627" "NC_000962.3:331748-332668" 886627 "Rv0276" "Rv0276"
"14515902" "NC_000962.3:c333417-333160" 14515902 "vapB25" "Rv0277A"
"886625" "NC_000962.3:c333136-332708" 886625 "vapC25" "Rv0277c"
"886623" "NC_000962.3:c336310-333437" 886623 "Rv0278c" "Rv0278c"
"886621" "NC_000962.3:c339073-336560" 886621 "PE_PGRS4" "Rv0279c"
"886619" "NC_000962.3:339364-340974" 886619 "PPE3" "Rv0280"
"886618" "NC_000962.3:340998-341906" 886618 "Rv0281" "Rv0281"
"886613" "NC_000962.3:342130-344025" 886613 "eccA3" "Rv0282"
"886645" "NC_000962.3:344022-345638" 886645 "eccB3" "Rv0283"
"886611" "NC_000962.3:345635-349627" 886611 "eccC3" "Rv0284"
"886608" "NC_000962.3:349624-349932" 886608 "PE5" "Rv0285"
"886607" "NC_000962.3:349935-351476" 886607 "PPE4" "Rv0286"
"886604" "NC_000962.3:351525-351818" 886604 "esxG" "Rv0287"
"886603" "NC_000962.3:351848-352138" 886603 "esxH" "Rv0288"
"886602" "NC_000962.3:352149-353036" 886602 "espG3" "Rv0289"
"886599" "NC_000962.3:353083-354501" 886599 "eccD3" "Rv0290"
"886615" "NC_000962.3:354498-355883" 886615 "mycP3" "Rv0291"
"886601" "NC_000962.3:355880-356875" 886601 "eccE3" "Rv0292"
"886594" "NC_000962.3:c358064-356862" 886594 "Rv0293c" "Rv0293c"
"886593" "NC_000962.3:358171-358956" 886593 "tam" "Rv0294"
"886596" "NC_000962.3:c359748-358945" 886596 "Rv0295c" "Rv0295c"
"886600" "NC_000962.3:c361155-359758" 886600 "Rv0296c" "Rv0296c"
"885981" "NC_000962.3:361334-363109" 885981 "PE_PGRS5" "Rv0297"
"886590" "NC_000962.3:363252-363479" 886590 "Rv0298" "Rv0298"
"886598" "NC_000962.3:363476-363778" 886598 "Rv0299" "Rv0299"
"886588" "NC_000962.3:363826-364047" 886588 "vapB2" "Rv0300"
"886586" "NC_000962.3:364044-364469" 886586 "vapC2" "Rv0301"
"886584" "NC_000962.3:364605-365237" 886584 "Rv0302" "Rv0302"
"886581" "NC_000962.3:365234-366142" 886581 "Rv0303" "Rv0303"
"886592" "NC_000962.3:c372764-366150" 886592 "PPE5" "Rv0304c"
"885978" "NC_000962.3:c375711-372820" 885978 "PPE6" "Rv0305c"
"886577" "NC_000962.3:375914-376585" 886577 "Rv0306" "Rv0306"
"886580" "NC_000962.3:c377055-376573" 886580 "Rv0307c" "Rv0307c"
"886583" "NC_000962.3:377113-377829" 886583 "Rv0308" "Rv0308"
"886574" "NC_000962.3:377931-378587" 886574 "Rv0309" "Rv0309"
"886570" "NC_000962.3:c379148-378657" 886570 "Rv0310c" "Rv0310c"
"886579" "NC_000962.3:379172-380401" 886579 "Rv0311" "Rv0311"
"886566" "NC_000962.3:380556-382418" 886566 "Rv0312" "Rv0312"
"886572" "NC_000962.3:382490-382876" 886572 "Rv0313" "Rv0313"
"886564" "NC_000962.3:c383541-382879" 886564 "Rv0314c" "Rv0314c"
"886563" "NC_000962.3:383602-384486" 886563 "Rv0315" "Rv0315"
"886560" "NC_000962.3:384535-385149" 886560 "Rv0316" "Rv0316"
"886559" "NC_000962.3:c385943-385173" 886559 "glpQ2" "Rv0317c"
"886576" "NC_000962.3:c387099-386305" 886576 "Rv0318c" "Rv0318c"
"886555" "NC_000962.3:387148-387816" 886555 "pcp" "Rv0319"
"886553" "NC_000962.3:387888-388550" 886553 "Rv0320" "Rv0320"
"886552" "NC_000962.3:388582-389154" 886552 "dcd" "Rv0321"
"886550" "NC_000962.3:389260-390591" 886550 "udgA" "Rv0322"
"886557" "NC_000962.3:c391251-390580" 886557 "Rv0323c" "Rv0323c"
"886548" "NC_000962.3:391352-392032" 886548 "Rv0324" "Rv0324"
"886546" "NC_000962.3:392039-392263" 886546 "Rv0325" "Rv0325"
"886544" "NC_000962.3:392273-392728" 886544 "Rv0326" "Rv0326"
"886538" "NC_000962.3:c394045-392696" 886538 "cyp135A1" "Rv0327c"
"886542" "NC_000962.3:394111-394713" 886542 "Rv0328" "Rv0328"
"886536" "NC_000962.3:c395320-394694" 886536 "Rv0329c" "Rv0329c"
"886540" "NC_000962.3:c396087-395347" 886540 "Rv0330c" "Rv0330c"
"886534" "NC_000962.3:396201-397367" 886534 "Rv0331" "Rv0331"
"886532" "NC_000962.3:397442-398227" 886532 "Rv0332" "Rv0332"
"886528" "NC_000962.3:398254-398628" 886528 "Rv0333" "Rv0333"
"886568" "NC_000962.3:398658-399524" 886568 "rmlA" "Rv0334"
"886527" "NC_000962.3:c400050-399535" 886527 "PE6" "Rv0335c"
"886524" "NC_000962.3:400192-401703" 886524 "Rv0336" "Rv0336"
"886522" "NC_000962.3:c403162-401873" 886522 "aspC" "Rv0337c"
"886520" "NC_000962.3:c405841-403193" 886520 "Rv0338c" "Rv0338c"
"886516" "NC_000962.3:c408448-405950" 886516 "Rv0339c" "Rv0339c"
"886514" "NC_000962.3:408634-409173" 886514 "Rv0340" "Rv0340"
"886518" "NC_000962.3:409362-410801" 886518 "iniB" "Rv0341"
"886510" "NC_000962.3:410838-412760" 886510 "iniA" "Rv0342"
"886508" "NC_000962.3:412757-414238" 886508 "iniC" "Rv0343"
"886512" "NC_000962.3:c414941-414381" 886512 "lpqJ" "Rv0344c"
"886505" "NC_000962.3:415050-415460" 886505 "Rv0345" "Rv0345"
"886530" "NC_000962.3:c416965-415502" 886530 "ansP2" "Rv0346c"
"886501" "NC_000962.3:417304-418290" 886501 "Rv0347" "Rv0347"
"886500" "NC_000962.3:418293-418946" 886500 "Rv0348" "Rv0348"
"886506" "NC_000962.3:418949-419608" 886506 "Rv0349" "Rv0349"
"885946" "NC_000962.3:419835-421712" 885946 "dnaK" "Rv0350"
"886497" "NC_000962.3:421709-422416" 886497 "grpE" "Rv0351"
"886495" "NC_000962.3:422452-423639" 886495 "dnaJ1" "Rv0352"
"885929" "NC_000962.3:423639-424019" 885929 "hspR" "Rv0353"
"886498" "NC_000962.3:c424694-424269" 886498 "PPE7" "Rv0354c"
